Alfredo Zitarrosa	associated with musician	Ciro Pérez
Julia Morgan	designed	Asilomar Conference Grounds
Spain	famous Spaniards include	Susana Diaz
Alfredo Zitarrosa	performs	Zamba music
Adam Holloway	was born in	Kent
US Airforce	has attack aircraft	The Lockheed AC-130
1089 Tama	former name	A919 HA; 1927 WB
AIDAstella	has top speed of	38.892 km/h
Andrew Rayel	is associated with musical artist	Bobina
Ab Klink	belongs to	Christian Democratic Appeal party
Baku Turkish Martyrs memorial	material	red granite
AEK Athens F.C.	play in	Superleague of Greece
Acharya Institute of Technology campus	located in	Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India
Vila Nova Futebol Clube	have been champions of	Campeonato Brasileiro Série C
USAF	fought in	Korean War
Alan Bean	born in	Wheeler, Texas
Arlington	is part of	Tarrant County
Alan Shepard	has died in	California
Trane	located in	Swords, Dublin
Ranil Wickremesinghe	is a leader of	Sri Lanka
Atlas II	is from	United States
Aaron Bertram	performs	ska punk music
United States	language spoken	English
Andrew Rayel	is associated with	Alexandre Bergheau
Apollo 14	operated by	NASA
AIDS journal	published in	United Kingdom
Singapore	leaders are	Halimah Yacob
Appleton International Airport	located above sea level	280 metres
White Americans	are one ethnic groups of	United States
Ahmet Ertegun	born in	1923
Atlas II	took final flight on	16 March 1998
Williamson County	county seat is	Georgetown
Antwerp International Airport	runway length	600.0
Angola International Airport	elevation	159 meters
Andrew Rayel	was born in	Chisinau, Moldova
Flemish department of Mobility and Public Works	is operating organisation of	Antwerp International Airport
Antares rocket	launched from	Mid-Atlantic Regional Spaceport Launch Pad 0
Ayam penyet	should be served	hot
Andrew Rayel	is associated with	Christian Burns
Agnes Kant	is national of	Netherlands
Allan Sandage	was one of his doctoral students	Walter Baade
Whig Party	in	United States
city of Anderson	is in	United States
Alan Shepard	has died in	California
Adolfo Suárez Madrid-Barajas Airport	location	Madrid
United States	capital city is	Washington DC
Bangalore, Karnataka	east of	Arabian Sea
Abraham A Ribicoff	member of	Democratic Party
University of Texas at Austin	president is	Gregory L. Fenves
Alan Shepard	nationality	American
Alan Bean	became part of	Apollo 12 mission
Al Anderson	plays for	rock band NRBQ
William M O Dawson	birthplace was	Bloomington Maryland
Abradab	came from	Katowice, Poland
Baku Turkish Martyrs' Memorial	native name	Türk Sehitleri Aniti
Atlantic City International Airport	is located in	Egg Harbor Township, Atlantic County, New Jersey, United States
Switzerland	is location of	Accademia di Architettura di Mendrisio
Manhattan	part of	New York
James Craig Watson	nationality	Canadian
Atlas II	launched from	Vandenberg Air Force Base
Cornell University	publisher of	Administrative Science Quarterly
101 Helena	discovered by	James Craig Watson
Albany	is found in	state of Georgia
Covington	is County seat of	Fountain County
Atlantic City International Airport	runway name	4/22
United States	is home to	Native Americans
Antares rocket	is in diametre	3.9 metres
Aston Martin Virage	succeeded	Aston Martin V8
Estádio Municipal Coaracy da Mata Fonseca	located in	Alagoas
Hypermarcas	sells	cosmetics
Baked Alaska	is served in	Hong Kong
Albuquerque	population density	1142.3 people per square kilometre
(66391) 1999 KW4	has epoch date	14 July 2004
Ahmet Ertegun	born in	Washington, DC, U.S.A.
Andrews County Airport	is in	Texas
Baku Turkish Martyrs memorial	dedicated to	soldiers of Ottoman army killed in Battle of Baku
Alessio Romagnoli	also plays for	AC Milan
Spanish	is spoken in	Argentina
Bananaman	made by	BBC
Austin	is	Texas' capital
Appleton International Airport	can be found in	Greenville, Wisconsin
Asser Levy Public Baths	reference number	80002709
Adolfo Suárez Madrid–Barajas Airport	is above sea level	610 metres
Abilene	is part of	Texas
Uttar Pradesh	is location of	Agra airport
Democratic Party	headquarter is located in	Washington D.C.
Al Asad airbase	operated by	United States Air Force
Al Asad airbase	aircraft include	General Dynamics F-16 Fighting Falcon
White Americans	are part of ethnic group in	U.S.
A Long Long Way	sequel is	The Secret Scripture
Dáil Éireann	is a leader in	Dublin
Barny cakes	made with	sponge cake
Alberto Teisaire	died in	Buenos Aires
Albuquerque, New Mexico	population density	1142.3 people per square kilometres
Uttar Pradesh	is part of	Bundelkhand
Adenan Satem	studied at	University of Adelaide
Amatriciana	includes	guanciale
Vermont	largest city is	Burlington
Accademia di Architettura di Mendrisio	has	600 students
Joe Biden	is leading politician of	US
Beef kway teow	is popular nationwide in	Indonesia
Alcatraz Versus the Evil Librarians	is from	The United States
Andra	born in	Câmpia, Turzii
Opelika	is county seat of	Lee County, Alabama, The United States
Acharya Institute of Technology	currently has	700 Postgraduate Students
Native Americans	are one ethnic group in	U.S.
Alex Day	was born in	London Borough of Havering
AMC Matador	classified as	mid-size station wagon
Alan Shepard	passed away on	21st of July, 1998
Malaysia	led by	Arifin Zakaria
Hypermarcas	is a maker of	cosmetics products
France	one leader is	Gerard Larcher
Lahore	is in	Pakistan
Agustin Barboza	was born in	Asuncion, Paraguay
ALCO RS-3	has engine	V12
Walter Baade	died in	West Germany
Trane	is a	subsidiary company
Al Anderson	plays	guitar
Abdulsalami Abubakar	succeeded by	Olusegun Obasanjo
Williamson County, Texas	contains town	Round Rock
AIDAstella	is in length	253260.0 millimetres
United States	language	English
Whig Party of United States	led by	Henry Clay
Americans	call home	U.S.
Netherlands	leader is	Mark Rutte
Birmingham City Council	is governing body for	Birmingham
Angola International Airport	elevation	159 metres
Abilene Regional Airport	runway length	2194.0
Christian Burns	genre	house musician
A.C. Milan	is in	Serie A league
Atlantic City International airport	ICAO Location Identifier	KACY
Alex Day	plays with band	Chameleon Circuit
Malaysia	is home to dish	Asam pedas
Mexico	is led by	Silvano Aureoles Conejo
Bionico	is found in	Guadalajara, Mexico
Aaron Turner	is from	Massachusetts
Audi A1	assembled in	Brussels, Belgium
Ariane 5	final flight on	18 December 2009
A Severed Wasp	written in	English language
Campeonato Brasileiro Série C league	from	Brazil
Accademia di Architettura di Mendrisio	student population	600
Ahmedabad, Gujarat, India	leader	T S Thakur
Bananaman	starred	Tim Brooke-Taylor
AIDAluna	owned by	AIDA Cruises
Shehbaz Sharif	is leader of	Pakistan
Andrew Rayel	is associated with musical artist	Jonathan Mendelsohn
United States Whig Party	led by	Daniel Webster
Ace Wilder	was born on	July 23, 1982
Tom Tait	is a leader in	Anaheim, California
Alan Shepard	has died in	California
Atlantic City International Airport	runway length	1,873
Neptun Werft	is headquartered in	Rostock
Ab Klink	belongs to	Christian Democratic Appeal party
GMA New Media	founded on	January 01, 2000
Runway 4/22	elevation	23m above sea level
Punjab Pakistan	is led by	Anwar Zaheer Jamali
Alaa Abdul Zahra	club is	Shabab Al-Ordon
Alex Day	is an	Electronic musician
Abradab	began performing in	1994
Great Britain	language spoken	English
Indonesia	capital city is	Jakarta
Adolfo Suárez Madrid–Barajas Airport	is located in	Madrid
FC Terek Grozny	managed by	Rashid Rakhimov
Pakistan Civil Aviation Authority	is operating organisation of	Allama Iqbal International Airport
Aaron Turner	is a	Black metal music and electric guitarist
Ayam penyet	is popular in	Malaysia
Cornell University	is in city of	Ithaca, New York, New York State
Agustin Barboza	died in	Asuncion
Abraham A Ribicoff	dying in	New York City
Chicago	leader is	Rahm Emanuel
DuPage County	is in	Illinois, United States
Ayam penyet	can be found in	Malaysia
United States	is home to	Albany
Ariane 5	took off from	ELA-3
Ajoblanco	made with	olive oil
James Craig Watson	attended	University of Michigan
107 Camilla	apoapsis	560,937,000 kilometres
Adolfo Suárez Madrid-Barajas Airport	lies above sea level	610 metres
U.S.	people are	American
Alcatraz Versus the Evil Librarians	is book from	The United States
Alan Shepard	died in	California
Halimah Yacob	is leader in	Singapore
United States	uses language	English
America	is	English speaking
(66391) 1999 KW4	density	2.0 gm per cu cm
United States	leader	Joe Biden
English	is also spoken in	Great Britain
Adonis Georgiadis	succeeded by	Makis Voridis
Binignit	from	Visayas region of the Philippines
Elliot See	graduate of	University of Texas at Austin
Accademia di Architettura di Mendrisio	is located in	Ticino, Switzerland
Alan Shepard	was born in	New Hampshire
AC Milan	is managed by	Sinisa Mihajlovic
United States Air Force	currently operates	Al Asad Airbase
Audi A1	has layout	front-engine with front-wheel-drive
NWC	degree	M.A.
Great Britain	language spoken	English
Seattle	is largest city of	Washington
1097 Vicia	escape velocity	0.0112 km/sec
Mike Akhigbe	successor to	Oladipo Diya
US	ethnic group	Asian Americans
Agnes Kant	is member of	Socialist Party
Airbus Defence and Space	manufactured	Ariane 5
Tarrant County	is in	Texas
Allan Sandage	was doctoral student of	Walter Baade
1089 Tama	has apoapsis	373,513,000 kilometres
France	leader is	Gerard Larcher
Alvah Sabin	represented	Vermont
Aaron Deer	was part of	the band Wee Giant
Barny Cakes	are from	France
Adolfo Suárez Madrid–Barajas Airport	is situated above sea level	610.0 meters
Cornell University	of	Ithaca, New York
Aleksandr Chumakov	belonged to	FC Torpedo Moscow
Alan Shepard	graduated in	1957
Abdul Taib Mahmud	succeeded by	Adenan Satem
Ariane 5	first voyage	August 11, 2005
Alfons Gorbach	died in	Graz
Atlantic City International Airport	elevation	23 metres
Alan Shepard	was awarded	Distinguished Service Medal
Amatriciana sauce	comes from region of	Lazio
Bionico	is a dish found in	Mexico
Andrew Rayel	is associated with	Armin van Buuren
Alvah Sabin	died in	Sycamore, Illinois
Andrew Rayel	musical genre is	trance music
Agnes Ward White	born in	Marietta, Ohio
Julia Morgan	significant projects include	buildings in Chinatown, San Francisco
Antwerp International Airport	has runway length	600.0
Allama Iqbal International Airport	located in	Punjab, Pakistan
Houston	is biggest city in	Texas
Ariane 5	launched from	Guiana Space Centre
United Kingdom	leaders are	David Cameron
Albany	is in	Oregon
Alan Shepard	graduated from	NWC
Vermont	largest city	Burlington
Alan Shepard	was crew member of	Apollo 14
Atlas II	launched from	Spaceport Florida Launch Complex 36
Brazil	has population density of	23.8
Allama Iqbal International Airport	is located in	Punjab, Pakistan
Malaysia	inhabited by	Indian
Bakso	is traditional food throughout	Indonesia
Ampara Hospital	is located in	Eastern Province of Sri Lanka
Aaron Turner	has been part of	Twilight band
Alan Shepard	chosen by	NASA
Argentina	country	Alberto Teisaire came from
Angola International Airport	elevation	159m
University of Texas at Austin	is affiliated to	University of Texas system
Austin	is part of	Williamson County
Akita, Akita	is part of	Akita Prefecture
Banyumasan people	are an ethnic group from	Java
Alan Frew	is from	Newmarket, Ontario, Canada
James Craig Watson	died in	Madison, Wisconsin
University of Texas at Austin	competed in	Big 12 conference
Antioch	is home to	California
Anderson, Indiana	uses area code	765
Alex Day	is associated with musical artist	Charlie McDonnell
African Americans	are an ethnic group in	United States
United States	is home to	Americans
United States	language spoken	English
Birmingham	birthplace of	John Madin
Elliot See	has died in	St Louis
Andra	career in	singing
Ajoblanco	made with	water
Montevideo, Uruguay	is home to	Uruguayans
Brian Robertson	is band member of	Suburban Legends
Malaysia	ethnic groups include	Chinese
Ireland	is a	European country
Ayam penyet	contains main ingredient	smashed fried chicken served with sambal
Atlas II	is from	United States
Vermont	state that	Alvah Sabin represented
Adams County	is south of	Cumberland County
Alhambra	owned by	P & O company
Alvah Sabin	died in	Sycamore, Illinois
Abdulsalami Abubakar	was in office while	Mike Akhigbe was Vice President
Gujarat	leader is known as	Gujarat Legislative Assembly
Antwerp International Airport	elevation	12.0 metres
Abilene	is in	Texas
Alex Day	plays with	Chameleon circuit
Julia Morgan	designed	Hearst Castle
Indiana	is in	United States
Malaysian chinese	are an ethnic group in	Malaysia
Minotaur IV rocket	launched from	Mid-Atlantic Regional Spaceport Launch Pad 0
Humphrys, Tennant and Dykes	located in	Deptford
United States	capital is	Washington D.C.
United Kingdom	led by	Elizabeth II
James Craig Watson	nationality	Canadian
Adolfo Suárez Madrid–Barajas Airport	has runway length	3500
Juan Afara	is leader of	Paraguay
Al Kharaitiyat SC	is managed by	Amar Osim
Atlas II	from	united States
Abraham A. Ribicoff	nationality	American
Italy	leaders include	Laura Boldrini
United States Air Force	deploy	General Dynamics F-16 Fighting Falcon
Bananaman	created by	Steve Bright
Netherlands	currency is	Euro
Adolfo Suarez Madrid-Barajas airport	is above sea level	610 metres
Alvah Sabin	eventually died in	Sycamore, Illinois
Bakso	is also popular in	neighbouring Southeast Asian countries
Indiana	is in	US
250 Delaware Avenue	is located in	United States
Alan Frew	musical genre is	Rock music
Campeonato Brasileiro Série C.	from	Brazil
Indonesia	leader is	Joko Widodo
Adonis Georgiadis	succeeded by	Makis Voridis
Summit County	is located within	United States
Rock	influencing	bhangra
Ardmore Airport, New Zealand	3rd runway surfaced with	Poaceae
Uttar Pradesh	is part of	Bundelkhand
Adonis Georgiadis	in office while	Antonis Samaras was Prime Minister
Agnes Kant	worked at	House of Representatives
250 Delaware Avenue	has	12 floors
Texas	is in	United States
Julia Morgan	known for	Hearst Castle
Alhambra	has power type	Humphrys, Tennant and Dykes
Alvah Sabin	worked as	Vermont's secretary
Gordon Marsden	is leader of	Blackpool
Albuquerque, New Mexico	area codes	505
Houston	is	largest city in Texas
Andrew Rayel	is associated with musical artist	Armin van Buuren
Abraham A. Ribicoff	married to	Casey Ribicoff
Civil Aviation Authority of New Zealand	is operating organisation for	Ardmore Airport, New Zealand
Vermont	largest city is	Burlington
A-Rosa Luna	builder is	Neptun Werft
Baku Turkish Martyrs' Memorial	known as	Türk Şehitleri Anıtı
Abdulsalami Abubakar	ended career on	1999-05-29
Akeem Adams	plays for	Ferencvarosi TC
Ayam Penyet	is also from	Indonesia
Abraham A Ribicoff	nationality	US
Bucharest	is capital of	Romania
Bangalore	is in	India
103 Colmore Row	designed by	John Madin
Mike Akhigbe	succeeded	Oladipo Diya
ska	has origins in	punk rock
Alan Shepard	status	late
Bionico	is a type of	cookie
Dublin	is led by	Dáil Éireann
Julia Morgan	designed	Los Angeles Herald examiner building
Hong Kong	leader is	Carrie Lam
Abilene Regional Airport	has	runway length of 2194.0
Elliot See	passed away on	28th February 1966
Campeonato Brasileiro Série C league	in	Brazil
Elliot See	has died in	St Louis
Amdavad ni Gufa	is located in	Gujarat, Ahmedabad
Mexico	leader is	Silvano Aureoles Conejo
James Craig Watson	discovered	101 Helena
Julia Morgan	born in	California
GMA New Media	is located inside	GMA Network Center
Abilene Regional Airport	serves	Abilene
N.R. Pogson	died in	Chennai
English	language spoken in	Great Britain
USAF	participated in	Korean War
Addis Ababa Stadium	located in	Addis Ababa, Ethiopia
Andrew Rayel	is associated with musical artist	Alexander Popov
Chinabank	net income is	$15,100,000,000
David Cameron	is leader in	United Kingdom
African Americans	are one ethnic group in	United States
United States	ethnic group	Asian Americans
France	language is	French
Anders Osborne	is associated with musical artist	Tab Benoit
Alvah Sabin	worked as	Secretary of State of Vermont
France	language	French
Chinese	is one of spoken languages in	California
Julia Morgan	significant projects include	Asilomar Conference Grounds
Abraham A. Ribicoff	worked as	United States Secretary of Health, Education, and Welfare
President of the United States	is main leader of	United States
Alan Frew	was born in	Coatbridge
Appleton International Airport	runway name	3/21
GMA New Media	offers products such as	mobile applications
Alan Shepard	passed away on	21st of July, 1998
Akeem Ayers	debut team were	Tennessee Titans
Juan Afara	leads	Paraguay
USAF	invaded	Grenada
Hypermarcas	located in	Brazil
Baku Turkish Martyrs' Memorial	known in Turkish as	Turk Sehitleri Aniti
Buenos Aires	language spoken	Spanish
Abilene Regional Airport	is located above sea level	546 metres
Uruguay	leader is	Tabare Vazquez
Ajoblanco	is a food found in	Spain
Native Americans	one ethnic group in	U.S.
Bananaman	last shown on	April 15th 1986
United States House of Representatives	located in	US Capitol
Al Kharaitiyat SC	play in	Qatar Stars League
Abraham A Ribicoff	worked as	United States Secretary of Health, Education, and Welfare
Abilene, Texas	population density	429.9 inhabitants per sq km
Agnes Kant	is national of	Netherlands
Binignit	includes	sweet potato
Aleksandr Prudnikov	is associate of	youth side of FC Spartak Moscow
Abilene Regional Airport	runway name	17R/35L
Baku Turkish Martyrs' Memorial	can be found in	Azerbaijan
Houston	is largest city in	Texas
Aaron Turner	born in	Massachusetts
Andrew Rayel	is associated with	Alexander Popov
Bionico	is served for	dessert
Andrews County Airport	elevation	973.0 metres
Aaron Turner	is an	electric guitarist
United States	is location of	Angola
United States	language spoken	English
Audi A1	is a	hatchback
(66063) 1998 RO1	has orbital period	360.29 days
Abraham A. Ribicoff	died in	New York City
Eastern Province of Sri Lanka	led by	Austin Fernando
Cornell University	nicknamed	Cornell Big Red
AIDAstella	owner are	Costa Crociere
Spanish language	is spoken in	California
Estádio Municipal Coaracy da Mata Fonseca	is ground of	Agremiação Sportiva Arapiraquense
Indiana	state capital is	Indianapolis
Felipe Gozon	is key person in	GMA New Media
Hip Hop music	has origins in	Disco music
Acharya Institute of Technology	affiliated with	Visvesvaraya Technological University
Agremiação Sportiva Arapiraquense	ground is	Estadio Municipal Coaracy da Mata Fonseca
School of Business and Social Sciences at Aarhus University	students attend currently	16000
Antonis Samaras	was	Prime Minister
Alessio Romagnoli	is connected to	UC Sampdoria
Amatriciana	includes	olive oil
U.S.A.	language spoken	English
Asser Levy Public Baths	architectural style	Romanesque Revival
Spain	people that live there are called	Spaniards
Native Americans	are one ethnic group in	United States
Amatriciana	is a	traditional sauce
GMA New Media	is located in	GMA Network Center
(66391) 1999 KW4	orbital period	16244700.0
Trane	net income	$556,300,000
Trane	revenue	10,264,000,000
Amatriciana	from	Lazio, Italy
United Kingdom	capital city is	London
Elliot See	attended	University of Texas at Austin
Cornell University	is in	Ithaca, New York
Adam Holloway	began his career	05/05/2005
city of Antwerp	is in	Belgium
Alex Day	performs	electronic music
Distinguished Service Medal	awarded by	US Navy
Andrew White	is artist of	B-Unique Records
Community of Madrid	is in	Spain
Georgetown	is county seat of	Williamson County
Antwerp International Airport	serves	city of Antwerp
McDonnell Douglas F-15 Eagle	was a Fighter Aircraft of	United States Air Force
Appleton International Airport	runway called	3/21
Alberto Teisaire	died in	Buenos Aires
Singapore	leaders are	Halimah Yacob
250 Delaware Avenue	was built in	Buffalo New York
Halton Arp	was doctoral student of	Walter Baade
1147 Stavropolis	has periapsis	260855000000.0
Arlington, Tarrant County	is in	Texas
Alan Frew	is a	musician
AIDAstella	operated by	AIDA Cruises
Ardmore Airport	runway name	03R/21L
White Americans	is an ethnic group in	United States
Seattle	is largest city of	Washington State
Alan Shepard	joined	NASA
Angola International Airport	is situated above sea level	159 meters
Atlantic City International Airport	has runway length	1,873
Germany	capital at	Berlin
Angola, Indiana	is in	Steuben County
Halton Arp	was doctoral student of	Walter Baade
Angola International Airport	serves	Luanda
Andrew Rayel	has performed genre	Trance music
AIDS journal	published in	United Kingdom
Spanish	is one of the languages spoken in	Texas
Acharya Institute of Technology	located in city of	Bangalore
death metal	is a musical fusion of	black metal
Ajo blanco	is alternative name to	Ajoblanco
Baku Turkish Martyrs' Memorial	designed by	Huseyin Butuner
AI Anderson	is member of	NRBQ
Antares rocket	launched at	Mid-Atlantic Regional Spaceport Launch Pad 0
Beef kway teow	is a popular dish in	Indonesia
Netherlands	leader is	Mark Rutte
Accademia di Architettura di Mendrisio	has	600 students
Joe Biden	is leading politician in	The United States
United Kingdom	is location of	20 Fenchurch Street
Auburn	is part of	Lee County
AMC Matador	assembled in	Thames, New Zealand
Spanish language	is spoken in	Texas
Atlantic City International Airport	lies above sea level	23 metres
rhythm and blues	is musical genre of	Ahmet Ertegun
Dublin	is part of	Leinster
Andrew Rayel	is associated with musical artist	Jano
Appleton International Airport	serves	city of Appleton
Agremiação Sportiva Arapiraquense	play in	Campeonato Brasileiro Série C league
Alan Shepard	passed away in	California
Akeem Adams	is member of	Ferencvarosi TC
Walter Baade	discovered	1036 Ganymed
Cornell University	location	Ithaca, New York
Alan Shepard	born in	New Hampshire
Vermont	largest city is	Burlington
Andrew Rayel	is associated with	Jwaydan
James Craig Watson	attended	University of Michigan
Alvah Sabin	represented	Vermont's 3rd Congressional District
Elliot See	was born on	28th February 1966
Singapore	leaders are	Tony Tan
10 Hygiea	apoasis	523951582.33968 km
Adam Holloway	alma mater is	Magdalene College, Cambridge
Abilene	elevation	524.0
Baku Turkish Martyrs' Memorial	designed by	Hilmi Güner
Ashgabat International Airport	operated by	Turkmenistan Airlines
Elliot See	was born in	Dallas
USAF	has been involved in	Invasion of Grenada
Elliot See	was born in	Dallas
bionico	served as	dessert course
Leinster	is in	Republic of Ireland
Estádio Municipal Coaracy da Mata Fonseca	is located in	Alagoas
Baku Turkish Martyrs' Memorial	designed by	Hüseyin Bütüner
Aleksandr Prudnikov	previously played for	FC Spartak Moscow's youth team
Aston Martin V8	assembled in	United Kingdom
Allama Iqbal International Airport	governed by	Pakistan Civil Aviation Authority
Alfredo Zitarrosa	associated with	Hector Numa Moraes
Ajoblanco	also known as	Ajo blanco
Rahm Emanuel	is leader of	Chicago
300 North LaSalle	has	60 floors
Adams County	is east of	Franklin County
Antares rocket	launched from	Mid-Atlantic Regional Spaceport Launch Pad 0
Alfredo Zitarrosa	style is	zamba
1097 Vicia	mass	9.8 kgs
Walter Baade	alma mater was	University of Gottingen
German	is one of the languages of	Belgium
Elliot See	was born in	Dallas county, Texas
Alfred Worden	was backup pilot for	Apollo 12
Ashgabat International Airport	elevation	211 metres
Casey Ribicoff	wife of	Abraham A. Ribicoff
AMC Matador	also known as	American Motors Matador
Alex Day	is associated with artist	Charlie McDonnell
Barny Cakes	created by	Mondelez International
Andrew Rayel	is associated with	Sylvia Tosun
Aaron Turner	has performed with	Twilight
Ajoblanco	originates	Andalusia
Indonesia	capital city is	Jakarta
Andrew Rayel	is associated with	Christian Burns
Ariane 5	last flight	December 18, 2009
Al Asad airbase	operated by	United States Air Force
Azerbaijan	leader is	Prime Minister
Alison O'Donnell	played with	Mellow Candle
Ardmore Airport	is in	New Zealand
Lee County	is in	Alabama
Port Authority of New York and New Jersey	is operating organisation of	Atlantic City International airport
Costa Crociere	located in	Genoa
AC Milan	chairman is	Silvio Berlusconi
Arros negre	is a traditional dish from	Spain
Albuquerque City Council	has leadership role in	Albuquerque, New Mexico
Alfons Gorbach	born in	Imst, Austria
Andrew White	is artist of	Polydor Recording
Houston Texans	location	Houston
Abdulsalami Abubakar	served in office while	Mike Akhigbe was Vice President
Whig Party (United States)	led by	Daniel Webster
Buenos Aires	death place of	Alberto Teisaire
Spanish	is spoken in	Texas
Adam Holloway	served in	Grenadier guards
Campeonato Brasileiro Série C league	in	Brazil
Anaheim	led by	Tom Tait
School of Business and Social Sciences at Aarhus University	established in	1928
Adam Holloway	became member of parliament for	Gravesham
Aleksandr Prudnikov	has also been signed to	FC Terek Grozny
Aaron Deer	formerly member of	Wee Giant
Houston	is largest city in	Texas
Adisham Hall	location	Haputale
Binignit	includes	banana
United States	president is	Barack Obama
Germany	leader is	Stanislaw Tillich
1089 Tama	escape velocity	0.0068 km per sec
United States	inhabitants are called	Americans
A C Milan	includes chairman	Silvio Berlusconi
Andra	was born in	Romania
Antonis Samaras	deputy is	Evangelos Venizelos
Ardmore Airport	has runway name	03R/21L
Andrews County Airport	serves	Andrews
Anderson	is led by	U.S. Democratic Party
Andrew Mitchell	is leader of	Birmingham
Klaus Iohannis	is country's Prime Minister of	Romania
Alvah Sabin	belonged to	Whig Party (United States)
Karnataka	northeast of	Telangana
Auburn	is located in	Washington State
Albuquerque, New Mexico	area codes	575
US	president is	Barack Obama
Trane	is a	subsidiary
Alvah Sabin	is from	Vermont
country	derives from	blues
Aleksandr Chumakov	belongs to	Soviet Union national football team
Bionico	may contain	honey
Angola International Airport	is located in	Ícolo e Bengo, Luanda Province, Angola
Aston Martin	manufactures	Aston Martin DBS
Apollo 12	operated by	NASA
Ram Naik	is leader of	Uttar Pradesh
1089 Tama	formerly known as	A919 HA; 1927 WB
ALCO RS-3	has	12 cylinders
Invasions of Grenada	involved	United States Air Force
Agra Airport	native name	Kheria Air Force Station
Singapore	language spoken	English
1097 Vicia	mass	9.8 kgs
Native Americans	are an ethnic group in	United States
Angola	is a city in	Indiana
Antares rocket	launched from	Mid-Atlantic Regional Spaceport
Banyumasan people	are one ethnic group in	Java
Ayam penyet	contains main ingredient	squeezed fried chicken served with sambal
Abraham A. Ribicoff	born in	Connecticut, United States
Antares rocket	launch site was	Mid-Atlantic Regional Spaceport Launch Pad 0
Aston Martin Virage	succeeded	Aston Martin V8
Berlin	is capital in	Germany
Agnes Ward White	spouse of	Albert B White
Ajoblanco	is a	Spanish dish
Antwerp International Airport	has runway length	600.0
Andrew White	is associated with	Kaiser Chiefs
Abilene Regional Airport	is above sea level	546 metres
1097 Vicia	orbital period	135589000
English	is spoken in	Great Britain
Socialist Party in Netherlands	makes use of colour	red
Above the Veil	is an	Australian novel
Aaron Turner	is a	Black metal musician
Ariane 5	diameter is	5.4 metres
10 Hygiea	apoapsis	523,951,582.33968 kilometres
Alvah Sabin	from	Vermont
Baymax	created by	Steven T Seagle
1097 Vicia	orbital period	135589000.0
AIDS journal	published in	United Kingdom
Native Americans	are one ethnic group in	United States
107 Camilla	discovered on	November 17, 1868
250 Delaware Avenue	location	Buffalo, New York
Romania	Prime Minister is	Klaus Iohannis
Ayam penyet	comes from region of	Indonesia
Agnes Kant	of	Netherlands
Agremiação Sportiva Arapiraquense	managed by	Vica
Ariane 5	manufactured by	Airbus Defence and Space
Audi A1	contains engine	1.2 l front engine
Charles Michel	is a leader of	Belgium
Andrew Rayel	is associated with	Lira Yin
Germany	capital city is	Berlin
Cornell University	affiliated with	Association of Public and Land-grant Universities
France	national language is	French
Uttar Pradesh	is part of	Awadh
Manhattan	is part of	New York City, New York, United States
Native Americans	is an ethnic group in	United States
Andrew Rayel	is associated with musical artist	Alexandra Badoi
Bhangra music	partly coming from	Rock music
Agremiação Sportiva Arapiraquense	play in	Campeonato Brasileiro Série C league
Alcatraz Versus the Evil Librarians	is from	United States
Abraham A. Ribicoff	died in	New York City
10 Hygiea	apoapsis	523951582.33968 kms
Alberto Teisaire	succeeded by	Isaac Rojas
Beef kway teow	is popular nationwide in	Singapore
Neptun Werft	location	Rostock, Germany
Al Asad airbase	operated by	United States Air Force
Abilene regional airport	runway length	2194.0
Costa Crociere	parent company	Carnival Corporation & plc
Barny cakes	found in	France
Asser Levy Public Baths	style	Romanesque Revival
Andrew Rayel	musical genre is	Trance
Aaron Turner	plays	electric guitar
Arlington	is part of	Tarrant County, Texas
(66063) 1998 RO1	apoapsis measurement	254989570.60815 kms
Olympia	is capital of	Washington State
Audi A1	has engine	1.2 litre
Italy	led by	Laura Boldrini
United States House of Representatives	located in	United States Capitol
Mid-Atlantic Regional Spaceport Launch Pad 0	is associated with	Rocket Minotaur V
Baku Turkish Martyrs' Memorial	designed by	Hüseyin Bütüner
Andrew White	signed to record label	Polydor Records
1089 Tama	orbital period	1202.846 days
Alvah Sabin	represented	Vermont
Alan Shepard	selected in	1959
James Craig Watson	Alma mater is	University of Michigan
Houston	is largest city in	Texas
Alan Shepard	graduated with	MA
Aaron Deer	is an	American
Banyumasan people	are an ethnic group in	Java
Batchoy	is eaten in	Philippines
Costa Crociere	located in	Genoa
Alfredo Zitarrosa	signed to	RCA Records label
Al Asad Airbase	uses	Lockheed AC-130 attack aircraft
Andrew Rayel	is associated with musical artist	Armin Van Buuren
ALCO RS-3	has engine	V12, 12 cylinder
Asilomar Conference Grounds	is in	Pacific Grove, California
Costa Crociere	own	AIDAstella
All India Council for Technical Education	located in	Mumbai, India
Indonesian language	is language spoken in	Indonesia
English	is main language of	U.S.
Chinabank	currently has net income of	$15,100,000,000
Covington	is County seat of	Fountain County
Anderson, Indiana	population density	523.9 people per square kilometer
Alex Day	became active in electronic music in	2006
(66391) 1999 KW4	epoch date is	July 14th 2004
University of Texas at Austin	will compete in	big 12 conference
Chicago	is in	DuPage County, Illinois, United States
Alexandria	is located in	Indiana
Alaa Abdul-Zahra	plays for	Shabab Al-Ordon Club
Abilene regional airport	serves	Jones County, Texas, in the United States
Ayam penyet	origins	Indonesia
Alvah Sabin	born in	Georgia, Vermont
United States	language is	English
